Identified,Location,Dependency Name,Current Version,Release,CVSS3 Score,Latest Version,Recommendation
2025-06-27T00:00:00.000Z,orx-cat-automation,@ampproject/remapping - 2.3.0,2.3.0,2024-03-01T00:00:00.000Z,0,2.3.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/e25a2217a04763bdb1f0af42e92bdd343b3e516f3780e5e3f13531feeaf09913
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/plugin-proposal-class-properties - 7.18.6,7.18.6,2022-06-27T00:00:00.000Z,0,7.21.4-esm.4,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/02dfa05bff86783ea631f8db132a910ddfeabe3426f52a1e8d7ccb304bf5907d
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/plugin-proposal-object-rest-spread - 7.20.7,7.20.7,2022-12-22T00:00:00.000Z,0,7.21.4-esm.4,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/47c16571eb3713fcf79a352cb384a7447d45fba55ce4982aaae83a8716ae345f
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/plugin-proposal-private-property-in-object - 7.21.0-placeholder-for-preset-env.2,7.21.0-placeholder-for-preset-env.2,2023-06-08T00:00:00.000Z,0,7.21.11,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/c5cf6a13cc911282a3af41bbf0ba292f6257e53fdb4ae025c23fd4f9f8718230
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/plugin-syntax-object-rest-spread - 7.8.3,7.8.3,2020-01-13T00:00:00.000Z,0,7.8.3,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/5c2be19d4efd2d7b7d84f5c9c3fb0a680c198f1ec8d914d94f6f7a7b293c917c
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/plugin-syntax-unicode-sets-regex - 7.18.6,7.18.6,2022-06-27T00:00:00.000Z,0,7.21.4-esm.4,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/b5e93f7a9f943a0b745b684298a63d5e481c620bf35aee5c4f381ac479b1cfcb
2025-06-27T00:00:00.000Z,orx-cat-automation,@babel/preset-modules - 0.1.6-no-external-plugins,0.1.6-no-external-plugins,2023-07-21T00:00:00.000Z,0,0.1.6,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/900d5c8dca7a2499bf1d5d309f82f26125988a7bd586f56839e9cd7b26d6f64f
2025-06-27T00:00:00.000Z,orx-cat-automation,@cypress/browserify-preprocessor - 3.0.2,3.0.2,2021-11-04T00:00:00.000Z,0,3.0.2,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/7558f1ede4b7603c35d8e54d05a941c0ac885cc9faf398df6900bdaf8858f4a2
2025-06-27T00:00:00.000Z,orx-cat-automation,@cypress/xvfb - 1.2.4,1.2.4,2018-09-28T00:00:00.000Z,0,1.2.4,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/bd90a741aa47ac062c72156001578928f637263f37f9b87d8413771001126231
2025-06-27T00:00:00.000Z,orx-cat-automation,@fast-csv/format - 4.3.5,4.3.5,2020-11-03T00:00:00.000Z,0,5.0.2,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/32266d730b140ba8d85f8a6f6c8fef65841dad764e2761db50b2f580d27e9c84
2025-06-27T00:00:00.000Z,orx-cat-automation,@fast-csv/parse - 4.3.6,4.3.6,2020-12-04T00:00:00.000Z,0,5.0.2,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/12f9bf3d4ac85e9870f8a251e10da1ab05f33f6729d04504b2ab5f5f51d813fa
2025-06-27T00:00:00.000Z,orx-cat-automation,@isaacs/cliui - 8.0.2,8.0.2,2023-05-02T00:00:00.000Z,0,8.0.2,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/de276f36e56751b589b64dce5a1e4c857bc932d5dc9c42497cf9f3320144a63c
2025-06-27T00:00:00.000Z,orx-cat-automation,@jridgewell/resolve-uri - 3.1.2,3.1.2,2024-02-14T00:00:00.000Z,0,3.1.2,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/6326a69a717b22e47baebf3029c8bfa383597cd911ad9ca00cacab3aba8ead2d
2025-06-27T00:00:00.000Z,orx-cat-automation,@jridgewell/set-array - 1.2.1,1.2.1,2024-02-29T00:00:00.000Z,0,1.2.1,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/df60f9f288e8ad81b66f2ed70a3b66be953884752898485f4ad78ab9217d7e33
2025-06-27T00:00:00.000Z,orx-cat-automation,@jridgewell/trace-mapping - 0.3.25,0.3.25,2024-03-02T00:00:00.000Z,0,0.3.25,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/532a6bc68975ae794d05fce63afa220330529d33a9baf2647fa08d07c0aa5d4e
2025-06-27T00:00:00.000Z,orx-cat-ui,@mui/lab - 7.0.0-beta.12,7.0.0-beta.12,2025-05-06T00:00:00.000Z,0,7.0.0-beta.14,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/2244288fd1246584431369b824ad525d08bef58483be56273df15bf99b6771fe
2025-06-27T00:00:00.000Z,orx-cat-automation,@pkgjs/parseargs - 0.11.0,0.11.0,2022-10-10T00:00:00.000Z,0,0.11.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/a8f7b96ec62ede2a46d91cd69649c7778d743617e492930d02504b1415e1ac65
2025-06-27T00:00:00.000Z,orx-cat-automation,@shelex/allure-js-commons-browser - 1.5.0,1.5.0,2023-12-01T00:00:00.000Z,0,1.5.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/45d31316cddd6200c445f2615fc8b75ed2cdee71e0026e6e3322eabc41159498
2025-06-27T00:00:00.000Z,orx-cat-automation,@types/node - 14.18.63,14.18.63,2023-09-23T00:00:00.000Z,0,24.0.4,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/54b7ad4a868261c5c36674b698dab0cf35a2af92441d66acc5f124cdd892786a
2025-06-27T00:00:00.000Z,orx-cat-automation,@types/sinonjs__fake-timers - 8.1.1,8.1.1,2021-11-30T00:00:00.000Z,0,8.1.5,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/65e5cda3ceade7a9b6b5f2fadbd94fbd5a6b0f7174bcba7e3abbcc24b7bcb853
2025-06-27T00:00:00.000Z,orx-cat-automation,acorn - 7.4.1,7.4.1,2020-10-05T00:00:00.000Z,0,8.15.0,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/6956aa931196c6a89cf13d7e0cad727ac4188bf3c2dff6e1db884288df571d97
2025-06-27T00:00:00.000Z,orx-cat-automation,acorn-node - 1.8.2,1.8.2,2019-08-13T00:00:00.000Z,0,2.0.1,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/51e800f7a3695b095afa6477f388a2213e099608d391b5b63e11cf2955a1927c
2025-06-27T00:00:00.000Z,orx-cat-automation,acorn-walk - 7.2.0,7.2.0,2020-06-17T00:00:00.000Z,0,8.3.4,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/c5f5453eea309e0bd7276e37c06904dd26613d9d181ee0bf09a8cb9bed8b94ef
2025-06-27T00:00:00.000Z,orx-cat-automation,aggregate-error - 3.1.0,3.1.0,2020-08-21T00:00:00.000Z,0,5.0.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/3f3b8401f03615951e74b2da1e4a7846761ba70124bba0347fdd2a279d252a10
2025-06-27T00:00:00.000Z,orx-cat-automation,ansi-colors - 4.1.3,4.1.3,2022-05-16T00:00:00.000Z,0,4.1.3,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/d33cb754803f247110a5be60c1c050d656b9cb00d53d212d4cd8e12f2035c6ea
2025-06-27T00:00:00.000Z,orx-cat-automation,ansi-escapes - 4.3.2,4.3.2,2021-03-24T00:00:00.000Z,0,7.0.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/59edb564ac0c642d24ec7cb6f6a8ceeffc6a2b57250207acd671c17a167d89b1
2025-06-27T00:00:00.000Z,orx-cat-automation,ansi-regex - 5.0.1,5.0.1,2021-09-14T00:00:00.000Z,0,6.1.0,Upgrade: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/493f9d611bf9a4bef3a17f3c9bf6d411a9ca17e60d0d8c2622d70db1709008cd
2025-06-27T00:00:00.000Z,orx-cat-automation,ansi-styles - 4.3.0,4.3.0,2020-10-04T00:00:00.000Z,0,6.2.1,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/49da43eac37f692f39fcfe09ce121f15d2dc210c3c4002e5dc600fa2c98fb279
2025-06-27T00:00:00.000Z,orx-cat-automation,ansi-styles - 6.2.1,6.2.1,2022-10-12T00:00:00.000Z,0,6.2.1,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/f18aba3d30e67c5d9062ab52b05862b89bb054ee06cc7493259ed044706cf0e9
2025-06-27T00:00:00.000Z,orx-cat-automation,any-promise - 1.3.0,1.3.0,2016-05-08T00:00:00.000Z,0,1.3.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/c71ab5cb9062e59a3056326a5458278c051756a71f5f37402f7004dee3d85e38
2025-06-27T00:00:00.000Z,orx-cat-automation,anymatch - 3.1.3,3.1.3,2022-11-21T00:00:00.000Z,0,3.1.3,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/e8f6ce8d05550e5498d91924290375c86658ebcc4e65eeb33a79be51811aa2aa
2025-06-27T00:00:00.000Z,orx-cat-automation,arch - 2.2.0,2.2.0,2020-10-27T00:00:00.000Z,0,3.0.0,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/942a5bd1e1f29ab6eca319694260fa892d447b1912e01ce71947c5db050b63c0
2025-06-27T00:00:00.000Z,orx-cat-automation,archiver - 5.3.2,5.3.2,2023-08-17T00:00:00.000Z,0,7.0.1,Evaluate: https://securityplatform.optum.com/appdetails/AIDE_0074782/Secure_Code_Vulnerabilities/4d930d5730d4e3a87144bbc3035230e7f7040e5fb64152c760c670992e9df01c
